,,,,,,,,,,,,
,"*If there any #N/As in the Data Drop, please add them and categorize below!",,,,,,,,,,,
,,,,,,,,,,,,
,Insert here,Fill in,,,Insert here,Fill in,,Insert here,Fill in,,Insert here,Fill in
,Market,Clean Market,Region,,Ad Type,Clean Ad Type,,KPI,Clean KPI,,Site,Clean Publisher
,AU,Australia,APAC,,Link,Link,,Leads,Lead,,LinkedIn,LinkedIn
,AUS,Australia,APAC,,Link Ad,Link,,CPC,Lead,,Facebook,Facebook
,Australia,Australia,APAC,,Link Ads,Link,,Lead,Lead,,Facebook Inc,Facebook
,CA,Canada,North America,,Lead,Lead,,,,,Facebook Lead Form,Facebook
,CAN,Canada,North America,,Lead Ad,Lead,,,,,,
,Canada,Canada,North America,,Lead Ads,Lead,,,,,,
,FR,France,EMEA,,Sponsored Content,Link,,,,,,
,FRA,France,EMEA,,Canvas Ad,Link,,,,,,
,France,France,EMEA,,,,,,,,,
,DE,Germany,EMEA,,,,,,,,,
,DEU,Germany,EMEA,,,,,,,,,
,Germany,Germany,EMEA,,,,,,,,,
,JP,Japan,APAC,,,,,,,,,
,JPN,Japan,APAC,,,,,,,,,
,Japan,Japan,APAC,,,,,,,,,
,UK,United Kingdom,EMEA,,,,,,,,,
,GBR,United Kingdom,EMEA,,,,,,,,,
,United Kingdom,United Kingdom,EMEA,,,,,,,,,
