Created_Time,Message
2018-08-25T07:37:04+0000,"Indulge your home in our new Midsummer Collection. Now available in stores and online https://www.khaadi.com/pk/home.html

For latest updates on Khaadi Home, follow us on
Facebook: Khaadi Home 
Instagram: KhaadiHome
Website: https://www.khaadi.com/pk/home.html   

#KhaadiHome #Khaadi"
2018-09-03T20:38:57+0000,"Stylish denim shirts 100 dhs
Small nd medium size"
2018-08-29T20:57:06+0000,Large size lawn  dresses on sale price chk caption
2018-08-29T20:53:33+0000,"Branded Winter stuff dresses
On sale price ..chk caption for reduced prices"
2018-09-04T12:00:51+0000,"Salitex Collection 
For pricing and details send us private message on the top right side of the page Whats app or Viber 00923108546043"
2018-09-03T10:40:00+0000,"Safeera Chifone Collection 
For pricing and details send us private message on the top right side of the page Whats app or Viber 00923108546043"
2018-08-28T16:06:40+0000,"Jazmín Embroidered Chiffon by Baroque 
For pricing and details send us private message on the top right side of the page Whats app or Viber 00923108546043"
2018-08-26T08:58:23+0000,"Annaya Chifone Collection 
For pricing and details send us private message on the top right side of the page Whats app or Viber 00923108546043"
2018-08-26T07:34:45+0000,"Allure .. 
Fabric kurrandi.. 
For pricing and details send us private message on the top right side of the page Whats app or Viber 00923108546043"
2018-08-25T16:33:20+0000,"Ready to Wear 
For pricing and details send us private message on the top right side of the page Whats app or Viber 00923108546043"
2018-08-08T14:57:58+0000,"Ramsha Chifone Collection 
For pricing and details send us private message on the top right side of the page Whats app or Viber 00923108546043"
2018-07-30T14:55:31+0000,"Areeba saleem black and white series. Only chiffon shirt
Price:3250
For pricing and details send us private message on the top right side of the page Whats app or Viber 00923108546043"
2018-07-27T18:44:48+0000,"Baroque Swiss Eid Lawn Collection 
For pricing and details send us private message on the top right side of the page Whats app or Viber 00923108546043"
2018-07-22T17:52:03+0000,"Maria.b Chifone Collection 
For pricing and details send us private message on the top right side of the page Whats app or Viber 00923108546043"
2018-07-22T15:34:50+0000,"MAYANAZ Emberiodered Lawn Collection Available in store now
Price:4500
For pricing and details send us private message on the top right side of the page Whats app or Viber 00923108546043"
2018-07-22T15:23:30+0000,"Serene fervour fiesta embroidered chiffon with pure dubatta.  
Pre booking starts 
Fabric : chiffon 
Dubatta: pure chiffon
Price:15000
For pricing and details send us private message on the top right side of the page Whats app or Viber 00923108546043"
2018-07-16T22:58:18+0000,For pricing and details send us private message on the top right side of the page Whats app or Viber 00923108546043
2018-07-15T09:48:25+0000,"Panache Embroidered Swiss Lawn Eid Collection In Store 
Price: 6500
For pricing and details send us private message on the top right side of the page Whats app or Viber 00923108546043"
2018-07-15T09:04:36+0000,"Eshaeman emberiodered lawn collection available in store now
Price: 5500
For pricing and details send us private message on the top right side of the page Whats app or Viber 00923108546043"
2018-06-02T13:39:26+0000,"ESHAEMAN FESTIVE EID LAWN WITH CHIFFON DUPATTA COLLECTION 2018 IN STORE NOW!!! 
FABRICS: LAWN
DUPATTA: CHIFFON
PRICE: 5000"
2018-05-29T00:23:35+0000,"JOHRA FESTIVE EMBROIDERED SWISS VOIL COLLECTION 2018 IN STORE NOW!!!
EMBROIDERED SWISS VOIL SHIRT
EMBROIDERED CRINKLE CHIFFON DUPATTA
EMBROIDERED TROUSER
PRICE: 7000
For pricing and details send us private message on the top right side of the page Whats app or Viber 00923108546043"
2018-05-28T14:54:49+0000,"GULMOR YASHAL LAWN WITH CHIFFON DUPATTA COLLECTION 2018 IN STORE NOW!!!
FABRICS: LAWN
DUPATTA: CHIFFON
PRICE: 6500
For pricing and details send us private message on the top right side of the page Whats app or Viber 00923108546043"
2018-05-27T18:00:53+0000,"Maria.b Lawn Eid Collection 
For pricing and details send us private message on the top right side of the page Whats app or Viber 00923108546043"
2018-05-27T15:54:43+0000,"MALHAR DIGITAL LAWN WITH LAWN DUPATTA COLLECTION 2018 IN STORE NOW!!!
FABRICS: LAWN
DUPATTA: LAWN
PRICE: 5000
For pricing and details send us private message on the top right side of the page Whats app or Viber 00923108546043"
2018-05-27T15:24:21+0000,"MALHAR FESTIVE  LAWN WITH CHIFFON DUPATTA COLLECTION 2018 COMING SOON!!!
FABRICS: LAWN
DUPATTA: CHIFFON
PRICE: 5000
For pricing and details send us private message on the top right side of the page Whats app or Viber 00923108546043"
2018-05-24T00:46:16+0000,"RAMSHA VOL 11 CHIFFON WITH CHIFFON DUPATTA COLLECTION 2018 IN STORE NOW!!!
FABRICS: CHIFFON
DUPATTA: CHIFFON
PRICE: 8000
For pricing and details send us private message on the top right side of the page Whats app or Viber 00923108546043"
2018-05-23T21:24:54+0000,"ROUPAS EID COLLECTION LAWN WITH CHIFFON DUPATTA COLLECTION 2018 IN STORE NOW!!!
FABRICS: LAWN
DUPATTA: CHIFFON
PRICE: 6000
For pricing and details send us private message on the top right side of the page Whats app or Viber 00923108546043"
2018-06-28T18:11:03+0000,"Clothes aren't worn by accident
They’re worn by Khaadi the designer collection ??

#jodhpur #exhibition #khaadi"
2017-07-24T03:16:32+0000,we will be there too??
2017-03-05T10:54:59+0000,"we are coming ?
bareilly??"
2016-11-23T06:44:03+0000,hand brush painted khaadi silk suits ?
2018-07-12T10:52:21+0000,https://www.facebook.com/Muhammadbilal9987/
